NAME,LAT,LNG,COUNTRY,URL
Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
Sepang International Circuit,2.76083,101.738,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
Bahrain International Circuit,26.0325,50.5106,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
Circuit de Barcelona-Catalunya,41.57,2.26111,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
Istanbul Park,40.9517,29.405,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park
Circuit de Monaco,43.7347,7.42056,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
Circuit Gilles Villeneuve,45.5,-73.5228,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
Silverstone Circuit,52.0786,-1.01694,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
Hockenheimring,49.3278,8.56583,Germany,http://en.wikipedia.org/wiki/Hockenheimring
Hungaroring,47.5789,19.2486,Hungary,http://en.wikipedia.org/wiki/Hungaroring
Circuit de Spa-Francorchamps,50.4372,5.97139,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
Autodromo Nazionale di Monza,45.6156,9.28111,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
Marina Bay Street Circuit,1.2914,103.864,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
Shanghai International Circuit,31.3389,121.22,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
Autódromo José Carlos Pace,-23.7036,-46.6997,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
Indianapolis Motor Speedway,39.795,-86.2347,USA,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
Autodromo Enzo e Dino Ferrari Imola,44.3439,11.7167,Italy,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
Suzuka Circuit,34.8431,136.541,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
Yas Marina Circuit,24.4672,54.6031,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
Autódromo do Estoril,38.7506,-9.39417,Portugal,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
Circuit Paul Ricard,43.2506,5.79167,France,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
Circuit Park Zandvoort,52.3888,4.54092,Netherlands,http://en.wikipedia.org/wiki/Circuit_Zandvoort
Circuit of the Americas,30.1328,-97.6411,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
Red Bull Ring,47.2197,14.7647,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
Sochi Autodrom,43.4057,39.9578,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom
Port Imperial Street Circuit,40.7769,-74.0111,USA,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
Baku City Circuit,40.3725,49.8533,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit
Hanoi Street Circuit,21.0166,105.766,Vietnam,http://en.wikipedia.org/wiki/Hanoi_Street_Circuit
Autódromo Internacional do Algarve,37.227,-8.6267,Portugal,http://en.wikipedia.org/wiki/Algarve_International_Circuit
Autodromo Internazionale del Mugello,43.9975,11.3719,Italy,http://en.wikipedia.org/wiki/Mugello_Circuit
Jeddah Street Circuit,21.5433,39.1728,Saudi Arabia,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
Losail International Circuit,25.49,51.4542,Qatar,http://en.wikipedia.org/wiki/Losail_International_Circuit
Miami International Autodrome,25.9581,-80.2389,United States,https://en.wikipedia.org/wiki/Miami_International_Autodrome